# A synthetic dataset where X has a t(5) distribution, and Y is X plus random
# t(9) variates. The underlying function to be found by the smooth is
# therefore E[Y | (X=x)] = x.
X Y
-2.10196589 -4.65384411
-1.25417256 -0.43274641
-0.55318196 -1.795785
0.19003371 -2.3268795
-0.74017377 -0.3380139
0.53849591 0.79309718
1.62377499 3.04524478
0.26848231 0.12937964
1.68509076 0.5612113
-3.02647391 -4.03697343
-1.55096069 -1.91940054
1.36947254 0.44954246
-0.59575204 -1.74343056
-0.43041586 0.76570133
-0.11691255 0.02366408
-0.19032903 -0.30974579
-1.83689675 -2.54529297
-0.5362218 -0.34790015
-0.33722379 -0.32548878
0.83600342 0.112214
0.23085027 -0.43475199
0.08741584 -1.33159308
0.33676687 0.02304851
-3.66952922 -3.18903642
-0.11241187 -0.84305999
0.56743081 0.97426158
-1.42005064 -2.9291367
0.62961775 0.90044538
0.46411458 0.21352805
0.79768649 1.55546591
-0.50923825 -1.30640952
-1.07711459 0.31757174
-3.49186675 -3.85143278
1.1411551 0.47907339
-0.39774558 -1.55275856
0.22615264 -1.33213916
0.45924278 2.47628548
0.53750934 0.12285407
0.6027135 0.80827987
0.04112811 -0.22218912
-1.21268251 -0.62998665
1.87981479 0.2655225
-2.09362717 -1.66373745
-1.53862704 -2.64187099
1.69860582 0.28327973
-0.78224429 0.83055185
0.96547569 -0.09147208
3.14837672 3.36453811
0.28819996 -0.42482248
0.42304457 1.56656172
-1.96620843 -3.80281007
3.85274586 2.98343182
0.53102145 1.79384487
1.25567315 1.19454288
-1.43400866 -2.77358866
-0.21612849 0.20965207
0.01214039 -0.96834507
-1.00925573 -0.22740403
2.2990481 2.50955924
-1.0582859 -1.58500938
-2.78164833 -1.67384995
-1.28442533 -2.28532445
0.5633734 0.43571241
0.14673152 0.4086196
0.333013 0.38172043
1.57036186 3.44432699
1.82335907 3.39702119
1.45953652 0.83397298
0.82610273 1.36828348
0.11162341 -0.31935821
-1.68986887 -2.70878802
1.10953979 1.42636103
1.01306775 1.35723358
-0.7932741 -1.34580699
-0.47932211 1.67440196
-0.85453327 -2.50783079
0.02044463 -0.1200572
-1.13759106 -1.56755184
1.49282705 1.3299428
-0.15987606 0.85068253
-0.99689017 -1.70204173
0.53655677 0.3415376
-1.83238196 -1.02410116
3.54251955 3.5641451
1.15303872 1.89310505
1.36849679 -0.49134832
-0.2388628 -0.01088293
1.67569596 2.70965151
0.75497986 0.02763304
-0.70154345 -2.05397578
-0.3769363 -0.38235008
0.0464757 -1.53892527
-0.74971572 -1.57832309
-1.91103356 -1.25535477
0.0453721 0.42700649
-0.2879742 -0.85848088
-0.80110007 -1.06606136
-1.77864287 -3.1071314
0.91868212 1.37750066
0.76375632 0.14246732
0.53525725 2.43851796
1.3278001 0.43659982
-0.33022962 1.29752899
-0.16981795 -1.02695954
1.59546328 2.05651058
-1.47893671 -2.08823491
-0.90623924 0.44769026
0.40906902 -0.97337581
-1.59128114 -1.37470449
2.91355834 1.41972868
2.17248651 2.62775322
-1.48096702 -0.84695361
3.13488013 3.4654112
0.76975532 -1.13479474
-0.10821041 0.60731891
-4.36090795 -4.69165333
-0.16499065 -1.42783184
-0.255256 -0.00832528
-1.17143308 -2.79256188
0.2145598 -0.05504444
0.80378449 -1.20022166
0.49187399 1.2936951
0.5999402 0.74881428
2.03544047 3.42387629
-0.57849043 -1.54157891
0.74480951 0.03196744
0.75777677 1.89034713
-1.82440861 -2.39304137
0.86860383 0.3495782
1.21969746 0.75102655
0.27163959 0.35201653
-2.0939075 -1.63476585
-2.16604606 -3.27249193
0.52424536 0.01690608
0.14391008 -0.97489257
-2.03539453 -1.65306868
-0.68173946 -4.42575396
0.99548672 1.21299591
-0.94092601 -2.0382858
1.84200758 0.57213178
-0.73373665 -0.73219368
-0.16626753 0.63461145
1.33175285 -0.10063062
0.55790459 -1.12597357
0.40402535 0.10943972
0.32777725 0.37017976
-0.55411616 -2.05253168
-1.16634035 -1.19552757
-0.18342572 -1.95314158
-1.68394463 -0.38005202
-0.14088623 -1.14407269
-0.09917666 -1.35108529
-0.71234324 -1.09380338
0.03860864 -1.50376679
0.32794425 1.0378487
0.25923648 -0.22082806
-0.47982638 0.98563322
-0.12710671 1.35095501
-0.29790325 1.64870822
-1.37522707 -1.49047602
-0.16727882 1.55870217
-0.42756493 -0.33918999
0.94216881 2.49543861
-3.44138914 -2.50903753
-0.07896264 -1.25788837
-1.31058415 -1.74541104
0.32612671 0.14638786
-0.66862622 0.10035954
-0.82784885 -0.39540903
-0.0739392 -0.18039426
-1.31673349 -0.16121221
1.8384858 -0.79743297
1.92550352 3.37183975
-0.15182546 0.62570972
-0.73308125 0.38079306
0.7093128 0.57102009
0.54093229 0.48787028
-1.57054757 -3.13708509
0.4618878 1.15365993
2.78273706 1.29369378
1.0067556 0.38601227
-0.42200904 1.36006207
-0.83758028 -1.34561058
0.08388537 -0.15948139
-1.7623243 -1.40871183
1.01784779 0.82583415
-0.37872791 -1.97280331
-0.03524294 0.1988846
-0.37297265 1.07594298
-1.52343069 -0.53156623
-1.14383093 -0.6464058
-1.74703926 -1.06825616
1.30536167 1.46583103
0.1260177 0.54560382
1.26913347 1.08920804
-0.63603116 -2.41863112
-1.0634175 0.07324787
1.0249477 -0.29001378
0.04657419 1.92814898
0.45486017 0.97672457
-1.23233261 -3.3763163
-0.49215211 -0.46228637
-0.62193004 -0.77272258
1.35917774 2.45424409
0.83820237 0.89031736
1.3501254 3.59405358
0.13348961 -1.03995889
2.0129838 1.25158238
0.13626239 1.26042383
-0.39590829 -2.02096208
0.05222463 -0.4326027
-0.73155365 -3.39913589
0.19216977 0.95264783
-1.94165535 -1.78241098
-0.16660127 0.2472768
1.2889244 1.81346176
-1.45897741 0.61949104
1.78537209 4.09520569
-0.97337141 -0.95912513
0.1349812 -0.26455101
0.25907323 0.12365736
-0.29624484 -2.41612305
-0.48811787 -3.72044776
0.85373733 1.33708637
-0.31078676 1.14451175
0.08352555 1.07999928
1.15018159 0.30880701
-1.77822555 -0.3419735
-2.40183039 -2.99101852
0.43537706 -0.27270417
0.94489829 0.26477129
1.07614023 0.23813775
-0.83129208 0.02410429
-0.2767868 0.12528595
-0.71416396 2.5001245
-1.9402082 -1.87795322
0.58654589 -0.55676534
-2.32964938 -1.54806533
-1.08395599 -0.22394168
-0.72483875 -2.04999488
-1.50966843 -0.95680979
-0.61167854 -1.78415222
-0.81359883 1.77346364
0.22981657 -0.75562199
1.89592866 1.00749541
1.72941056 1.93435998
0.7597583 2.35193496
1.26992025 1.18505041
-2.04888365 -2.93600447
0.93272277 1.58668528
1.34382018 2.01681008
-0.12067997 0.7482749
-0.07761777 -0.02671961
0.71496052 1.39631442
-0.47081517 -2.19085151
-0.33941431 -0.28357396
-1.16056467 -0.64597587
1.04626368 1.37908257
4.11799 3.8033994
0.13904722 -1.77652379
-0.69004679 -0.1764949
-1.56490926 0.69550395
-0.09060537 1.64800716
0.7807775 1.24789785
-0.03288052 -1.63677946
0.48807901 0.11806641
0.2806904 -1.08261067
0.5095496 2.94434911
2.35630985 2.74062796
2.00523614 3.33411094
-0.30417704 -0.71427046
-0.09057626 -1.75931192
-0.80135769 -0.95159488
3.52871215 5.19383355
0.06270494 0.12267555
1.12986808 0.93007515
0.08324851 0.62290442
0.05173454 1.28235185
0.41116544 0.36377606
-2.10709674 -3.42706649
0.87668593 0.93755298
2.64559356 3.05111133
-0.84435537 -4.05249303
-0.23119252 0.10688936
-0.9352304 -1.25126107
-0.182033 0.07626576
0.11006955 0.49327757
0.36802951 1.39261573
-0.32460022 -0.80976712
-0.21038821 -1.68243185
-0.61667643 -0.08861592
-0.25131628 -1.17549858
1.35027698 1.96053781
