X Y
-31.4159265358979 1
-31.3530317880783 0.998022777260411
-31.2901370402587 0.992098927861168
-31.2272422924391 0.982251877341748
-31.1643475446195 0.96852056532656
-31.1014527967999 0.950959291540325
-31.0385580489802 0.929637501082777
-30.9756633011606 0.904639509811797
-30.912768553341 0.876064170920957
-30.8498738055214 0.844024484029949
-30.7869790577018 0.808647148333755
-30.7240843098822 0.770072061577581
-30.6611895620625 0.72845176683886
-30.5982948142429 0.683950849303965
-30.5354000664233 0.636745285425059
-30.4725053186037 0.587021747030817
-30.4096105707841 0.534976863142849
-30.3467158229645 0.480816442416965
-30.2838210751449 0.424754659284048
-30.2209263273252 0.367013207008965
-30.1580315795056 0.307820421016627
-30.095136831686 0.247410375952001
-30.0322420838664 0.18602196004469
-29.9693473360468 0.123897930438452
-29.9064525882272 0.0612839532213165
-29.8435578404075 -0.00157236804758497
-29.7806630925879 -0.0644224714727691
-29.7177683447683 -0.12701781974688
-29.6548735969487 -0.189110882977918
-29.5919788491291 -0.250456117532701
-29.5290841013095 -0.310810937025771
-29.4661893534899 -0.369936671614043
-29.4032946056702 -0.42759951180367
-29.3403998578506 -0.483571433036945
-29.277505110031 -0.537631097402989
-29.2146103622114 -0.589564728906441
-29.1517156143918 -0.639166958832984
-29.0888208665722 -0.686241637868733
-29.0259261187525 -0.730602611761989
-28.9630313709329 -0.772074457460087
-28.9001366231133 -0.810493176810293
-28.8372418752937 -0.845706845081557
-28.7743471274741 -0.877576211742579
-28.7114523796545 -0.90597525112044
-28.6485576318349 -0.930791660762262
-28.5856628840152 -0.951927305529127
-28.5227681361956 -0.969298605666136
-28.459873388376 -0.982836867313995
-28.3969786405564 -0.992488554155135
-28.3340838927368 -0.998215499120161
-28.2711891449172 -0.999995055317446
-28.2082943970975 -0.997820185589031
-28.1453996492779 -0.991699490338681
-28.0825049014583 -0.981657173522058
-28.0196101536387 -0.967732946933498
-27.9567154058191 -0.949981873167886
-27.8938206579995 -0.928474147878625
-27.8309259101799 -0.903294822192752
